,country,year,persons_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_education,life_expectancy,unemployment,internet_penet,connected_dev
33,costa rica,2006,7,0,0,22526464409,10,48.34981,79,6,25.1,2511139
34,dominican Republic,2005,6,55,0,361615917.8,11,49.36201,73,16.70000076,23.62041985,5072674
35,dominican Republic,2006,4,55,52,382299140.4,10,47.8447,73,18.39999962,30.31961309,5072674
36,dominican Republic,2007,9,55,205,412592592.6,10,47.87404,73,18,38.54364326,5072674
37,dominican Republic,2003,0,55,0,340803912.9,7,47.86593,73,16.39999962,39.3981743,5072674
38,dominican Republic,2004,0,55,0,366976849.4,8,47.51171,73,15.69999981,40.27446301,5072674
39,Egypt,2003,19,9,0,82923680622,5,47.60759,61,10.39999962,4.037885107,40311562
40,Egypt,2004,22,9,0,78845185709,5,47.87272,61,10.69999981,11.92,40311562
41,Egypt,2005,5,13,0,89685724889,7,47.336,61,11.19999981,12.75,40311562
42,Egypt,2006,30,11,0,1.07E+11,4,47.40855,61,10.60000038,13.66,40311562
43,Egypt,2007,26,0,0,1.30E+11,6,47.59621,61,8.899999619,16.03,40311562
44,el salvador,2006,21,59,0,18550700000,12,48.23436,65,6.800000191,3.2,1742832
45,el salvador,2007,17,23,73,20104900000,11,48.16898,65,7.199999809,4.2,1742832
46,el salvador,2004,0,0,14,15798300000,9,48.17351,65,6.599999905,5.5,1742832
47,el salvador,2005,0,0,41,17093800000,11,49.09469,65,6.300000191,6.11,1742832
48,georgia,2005,6,11,2,6411147323,9,48.28722,72,13.80000019,6.079457629,2188311
49,georgia,2006,11,21,0,7761900179,13,48.83848,72,13.60000038,7.526876845,2188311
50,guatemala,2006,0,245,10,30231130543,10,47.7458,68,2.799999952,6.5,2716781
51,guatemala,2007,0,813,25,34113106486,11,47.91317,68,2.5,7.3,2716781
52,guatemala,2008,0,548,15,39136441799,10,48.02463,68,2.799999952,8.3,2716781
53,India,2003,17870,0,0,6.18E+11,10,46.82275,62,4.099999905,1.686489971,243198922
54,India,2004,20390,0,0,7.22E+11,12,46.9309,62,3.900000095,1.976136492,243198922
55,india,2005,23053,0,0,8.34E+11,9,47.59237,62,4.400000095,2.388075,243198922
56,India,2006,25844,0,0,9.49E+11,10,47.88722,62,4.300000191,2.805499865,243198922
57,indonesia,2003,88,81,20,2.35E+11,9,48.67859,62,9.5,2.38701978,42258824
58,indonesia,2004,30,103,0,2.57E+11,10,48.72238,62,9.899999619,2.600285876,42258824
59,indonesia,2005,27,125,18,2.86E+11,9,48.26,62,11.19999981,3.602024763,42258824
60,indonesia,2006,58,496,129,3.65E+11,9,48.23694,62,10.30000019,4.764813134,42258824
