country,year,person_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_in_primary_education,life_expectancy,unemployment_rate,internet_users
Argentina,2005,0,30,0,2.23E+11,9,48.82373,73,10.60000038,17.72058337
Argentina,2006,0,63,0,2.64E+11,10,48.77301,73,10.10000038,20.9272021
Argentina,2007,0,79,0,3.30E+11,8,48.79879,73,8.5,25.94663294
Armenia,2003,0,2,0,2807061009,11,48.50162,62,28.60000038,4.575217225
Armenia,2004,3,33,0,3576615240,8,48.347,62,32.29999924,4.899008571
Armenia,2005,11,21,0,4900436759,10,48.19136,62,27.79999924,5.252983352
Armenia,2006,8,36,0,6384457744,11,47.81732,62,24.5,5.631787777
australia,2003,7,0,0,4.67E+11,13,48.62008,77,5.900000095,0
australia,2004,8,32,0,6.13E+11,15,48.61707,77,5.400000095,0
australia,2005,3,22,0,6.94E+11,14,48.59218,77,5,63
australia,2006,8,16,0,7.47E+11,14,48.60962,77,4.800000191,66
australia,2007,3,18,0,8.54E+11,14,48.59936,77,4.400000095,69.45
australia,2008,5,23,0,1.06E+12,14,48.61558,77,4.199999809,71.67
azerbaijan,2006,0,86,0,20982270733,10,47.14305,72,6.800000191,11.99217733
azerbaijan,2007,0,101,0,33050343783,9,47.22877,72,6.5,14.54
belarus,2003,134,350,0,17825436035,11,48.29144,62,10.19999981,0
belarus,2004,176,400,0,23141587718,11,47.78341,62,10.39999962,0
belarus,2005,173,564,61,30210091837,10,47.75737,62,10.30000019,0
belarus,2006,127,885,222,36961918859,9,48.07117,62,10.30000019,16.2
Bolivia,2005,0,9,23,9549196256,7,48.98155,55,5.400000095,5.227583957
Bolivia,2006,21,11,41,11451845341,9,49.01107,55,5.300000191,6.200671255
Bolivia,2007,32,10,31,13120183157,10,48.97738,55,5.199999809,10.49924432
Brazil,2003,52,5223,0,5.52E+11,10,47.7199,71,9.699999809,
Brazil,2004,130,2887,0,6.64E+11,11,47.70676,71,8.899999619,
Brazil,2005,128,4348,0,8.82E+11,12,47.59256,71,9.300000191,
Brazil,2006,117,3417,0,1.09E+12,11,47.20861,71,8.399999619,
Brazil,2007,200,5975,0,1.37E+12,11,47.20861,71,8.100000381,
cambodia,2003,36,340,336,4658246907,9,46.7828,51,1.899999976,
cambodia,2004,33,203,433,5337833256,8,47.0335,51,1.899999976,
cambodia,2005,73,312,303,6293046162,10,47.23994,51,1.700000048,
cambodia,2006,65,100,192,7274424519,9,47.29639,51,1.799999952,
costa rica,2004,11,0,0,18596365927,9,48.3085,79,6.5,
costa rica,2005,5,0,0,19964893807,9,48.25056,79,6.599999905,
costa rica,2006,7,0,0,22526464409,10,48.34981,79,6,
dominican Republic,2003,0,55,0,340803912.9,7,47.86593,73,16.70000076,
dominican Republic,2004,0,55,0,366976849.4,8,47.51171,73,18.39999962,
dominican Republic,2005,6,55,0,361615917.8,11,49.36201,73,18,
dominican Republic,2006,4,55,52,382299140.4,10,47.8447,73,16.39999962,
dominican Republic,2007,9,55,205,412592592.6,10,47.87404,73,15.69999981,
Egypt,2003,19,9,0,82923680622,5,47.60759,61,10.39999962,
Egypt,2004,22,9,0,78845185709,5,47.87272,61,10.69999981,
Egypt,2005,5,13,0,89685724889,7,47.336,61,11.19999981,
Egypt,2006,30,11,0,1.07E+11,4,47.40855,61,10.60000038,
Egypt,2007,26,0,0,1.30E+11,6,47.59621,61,8.899999619,
el salvador,2004,0,0,14,15798300000,9,48.17351,65,6.800000191,
el salvador,2005,0,0,41,17093800000,11,49.09469,65,7.199999809,
el salvador,2006,21,59,0,18550700000,12,48.23436,65,6.599999905,
el salvador,2007,17,23,73,20104900000,11,48.16898,65,6.300000191,
georgia,2005,6,11,2,6411147323,9,48.28722,72,13.80000019,
georgia,2006,11,21,,7761900179,13,48.83848,72,13.60000038,
guatemala,2006,0,245,10,30231130543,10,47.7458,68,2.799999952,
guatemala,2007,0,813,25,34113106486,11,47.91317,68,2.5,
guatemala,2008,0,548,15,39136441799,10,48.02463,68,2.799999952,
India,2003,17870,0,0,6.18E+11,10,46.82275,62,4.099999905,
India,2004,20390,0,0,7.22E+11,12,46.9309,62,3.900000095,
india,2005,23053,0,0,8.34E+11,9,47.59237,62,4.400000095,
India,2006,25844,0,0,9.49E+11,10,47.88722,62,4.300000191,
indonesia,2003,88,81,20,2.35E+11,9,48.67859,62,9.5,
indonesia,2004,30,103,0,2.57E+11,10,48.72238,62,9.899999619,
indonesia,2005,27,125,18,2.86E+11,9,48.26,62,11.19999981,
indonesia,2006,58,496,129,3.65E+11,9,48.23694,62,10.30000019,
indonesia,2007,88,334,150,4.32E+11,12,48.0562,62,9.100000381,
israel,2003,20,0,0,1.19E+11,9,48.65281,69,10.69999981,
israel,2004,37,119,0,1.27E+11,10,48.72566,69,10.39999962,
israel,2005,31,105,0,1.34E+11,11,48.79162,69,9,
israel,2006,29,84,0,1.51E+11,12,48.86269,69,8.399999619,
japan,2003,41,83,0,4.30E+12,9,48.79416,73,5.199999809,
japan,2004,58,77,0,4.66E+12,10,48.78129,73,4.699999809,
japan,2005,83,117,0,4.57E+12,13,48.79869,73,4.400000095,
japan,2006,78,58,0,4.36E+12,11,48.80791,73,4.099999905,
kazakhstan,2003,6,0,0,30833692831,10,48.8538,60,8.800000191,
kazakhstan,2004,3,0,0,43151647003,11,48.80483,60,8.399999619,
kazakhstan,2005,2,10,3,57123671734,9,48.78757,60,8.100000381,
kazakhstan,2006,11,13,6,81003864916,9,48.84478,60,7.800000191,
kazakhstan,2007,0,11,6,1.05E+11,10,48.80646,60,7.300000191,
kyrgyzstan,2003,0,131,3,1919012781,10,48.74089,58,9.899999619,
kyrgyzstan,2004,0,119,2,2211535312,10,48.77952,58,8.5,
kyrgyzstan,2005,3,114,6,2459876152,10,48.88707,58,8.300000191,
kyrgyzstan,2006,7,95,9,2834168889,9,48.9781,58,8.199999809,
Lao PDR,2003,0,0,81,2023324407,7,45.64949,53,2.099999905,
Lao PDR,2004,0,0,66,2366398120,9,45.91846,53,2.400000095,
Lao PDR,2005,0,0,243,2735550177,8,45.97927,53,1.399999976,
Lao PDR,2006,0,0,259,3452895836,10,46.10604,53,1.399999976,
malaysia,2003,31,0,0,1.10E+11,8,48.59518,71,3.599999905,
malaysia,2004,73,0,0,1.25E+11,8,48.58656,71,3.5,
malaysia,2005,34,0,0,1.44E+11,7,48.58152,71,3.5,
malaysia,2006,35,0,0,1.63E+11,6,48.55223,71,3.299999952,
moldova,2003,173,173,15,1980901554,9,48.68409,63,7.900000095,
moldova,2004,238,238,41,2598231467,9,48.64588,63,8.100000381,
moldova,2005,239,239,53,2988172424,10,48.47659,63,7.300000191,
moldova,2006,243,251,47,3408454198,8,48.55167,63,7.400000095,
mongolia,2003,0,0,0,1595297301,0,49.60448,55,6.800000191,
mongolia,2004,1,5,0,1992066759,7,49.36538,55,7.400000095,
mongolia,2005,4,21,0,2523359941,10,49.49981,55,7.400000095,
mongolia,2006,9,20,0,3414053251,10,49.52168,55,6.400000095,
mongolia,2007,16,31,0,4234894168,9,49.42532,55,7.199999809,
morocco,2003,15,21,0,49822651702,10,46.44024,61,11.89999962,
morocco,2004,16,12,0,56948015336,10,46.47576,61,10.80000019,
morocco,2005,20,13,0,59523857868,12,46.35572,61,11,
morocco,2006,37,21,0,65637107776,10,46.29177,61,9.699999809,
Myanmar,2003,0,932,0,0,7,49.67162,57,4.099999905,
Myanmar,2004,0,1157,0,0,5,49.70253,57,4,
Myanmar,2005,0,824,0,0,7,49.85957,57,4,
Myanmar,2006,0,1370,0,0,7,49.57252,57,4,
